countrycode,country,country_norm,country_barro_lee,year,rgdpo,emp,cn,hc,no_schooling_raw_pct,primary_total_raw_pct,secondary_total_raw_pct,tertiary_total_raw_pct,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,theta_sum_before_norm,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,ln_capital_factor_rel_us,residual,ln_y_abs,ln_yhat_with_A_abs_us_anchor,ln_yhat_without_A_abs_us_anchor
DNK,Denmark,denmark,Denmark,2010,271409.96875,2.791450500488281,1166865.375,3.4391186237335205,2.89,6.9,61.63,28.6,0.0288942211557688,0.0689862027594481,0.6161767646470707,0.2859428114377125,1.0000000000000002,1.0002,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7184153405302007,97229.01004424937,4.299272353090384,3.4391186237335205,-0.1964717052453686,-0.09640512776922128,0.15950769270707021,-0.07359136879859274,-0.09024265021427892,0.0061624775549423555,0.0797538463535351,-0.1062290550310897,11.48482440316439,11.59105345819548,11.687458585964702
DOM,Dominican Republic,dominican republic,Dominican Rep.,2010,126976.6953125,3.8970165252685542,417298.3125,2.4240472316741943,10.8,35.36,43.57,10.27,0.108,0.3535999999999999,0.4357,0.1027,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3008625120843678,32583.052827508778,3.2864165465402517,2.4240472316741943,-1.2897485281417236,-0.2631701850168989,-0.10914031986932216,-0.42336804029317987,-0.7411083852447399,-0.47793820022784095,-0.05457015993466107,-0.5486401428969838,10.391547580268035,10.94018772316502,11.203357908181918
DZA,Algeria,algeria,Algeria,2010,532781.75,9.781851768493652,2139251.75,2.039870500564575,26.99,44.15,18.73,10.13,0.2699,0.4415,0.1873,0.1013,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.063528966083533,54466.348765990886,4.015249677752664,2.039870500564575,-0.7759577722965769,-0.37203663544148047,0.09116143624345541,-0.5959202675987512,-0.9223761849185039,-0.5503395494770235,0.0455807181217277,0.146418412621927,10.905338336113182,10.758919923491256,11.130956558932736
ECU,Ecuador,ecuador,Ecuador,2010,148737.3125,6.7334184646606445,644770.25,2.705012559890747,10.63,49.59,28.22,11.55,0.1063106310631063,0.4959495949594959,0.2822282228222822,0.1155115511551155,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.2178795631421457,22089.42059380772,4.334959662525837,2.705012559890747,-1.6784420416828372,-0.29990265521085924,0.16777420965864942,-0.31370003782401346,-0.529715588205548,-0.22981293299468875,0.0838871048293247,-1.148726453477289,10.002854066726922,11.151580520204211,11.45148317541507
EGY,Egypt,egypt,Egypt,2010,862343.0625,22.842914581298828,1214617.375,2.356199026107788,37.39,10.51,42.03,10.08,0.3738626137386261,0.1050894910508949,0.4202579742025797,0.1007899210078992,1.0000000000000002,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.1940993763805046,37751.008498976225,1.4085083162595744,2.356199026107788,-1.1425286388847642,-0.31068258746910127,-0.9564068828070467,-0.4517568548264532,-1.2406428836990777,-0.9299602962299764,-0.4782034414035233,0.09811424481431358,10.538767469524995,10.440653224710681,10.751335812179782
ESP,Spain,spain,Spain,2010,1622292.375,19.412738800048828,10037753.0,2.803053140640259,2.49,30.12,41.72,25.67,0.0249,0.3012,0.4172,0.2567,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.559930335055342,83568.4439846231,6.187388386140938,2.803053140640259,-0.34787484489331355,-0.15647419765699222,0.5235749936670739,-0.2780973628341554,-0.17278406365761073,-0.01630986600061851,0.2617874968335369,-0.17509078123570282,11.333421263516446,11.508512044752148,11.66498624240914
EST,Estonia,estonia,Estonia,2010,31773.455078125,0.5611211657524109,152235.3125,3.472615957260132,0.18,4.62,60.39,34.81,0.0018,0.0462,0.6039,0.3481,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.805887194221884,56624.944873572495,4.7912734742155605,3.472615957260132,-0.7370912191600407,-0.06473446366856273,0.2678581416318333,-0.06389840521622037,0.005296201931133532,0.07003066559969626,0.13392907081591662,-0.7423874210911743,10.944204889249718,11.686592310340892,11.751326774009454
FIN,Finland,finland,Finland,2010,233241.90625,2.4958302974700928,1161520.625,3.335679292678833,0.37,28.69,39.34,31.61,0.0036996300369963,0.2868713128687131,0.3933606639336067,0.3160683931606839,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6400466186358122,93452.63036770829,4.979896810460063,3.335679292678833,-0.2360861485951773,-0.12565766733269412,0.30647107456917855,-0.10413024873743626,-0.07655237878554114,0.049105288547152987,0.15323553728458925,-0.15953376980963618,11.445209959814582,11.604743729624218,11.730401396956912
FJI,Fiji,fiji,Fiji,2010,7454.62548828125,0.282317191362381,15130.935546875,2.6106793880462646,3.02,32.65,51.19,13.13,0.0302030203020302,0.3265326532653265,0.5119511951195119,0.1313131313131313,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4234540865933942,26405.141862978257,2.0297378547937774,2.6106793880462646,-1.4999820707030302,-0.21126041186750244,-0.5910314463161397,-0.3491961039291577,-0.8559722389547298,-0.6447118270872274,-0.2955157231580698,-0.6440098317483002,10.181314037706729,10.82532386945503,11.036584281322531
FRA,France,france,France,2010,2591608.5,26.876161575317383,13083475.0,3.05643367767334,1.55,19.23,54.78,24.43,0.0155015501550155,0.1923192319231923,0.5478547854785479,0.2443244324432443,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.622625920303587,96427.77644185953,5.048399478547783,3.05643367767334,-0.20474653195103265,-0.13227816740518128,0.3201331626501902,-0.19155782185513193,-0.16376940793521813,-0.03149124053003685,0.16006658132509508,-0.04097712401581452,11.476549576458726,11.51752670047454,11.649804867879721
GAB,Gabon,gabon,Gabon,2010,22436.4453125,0.4558199942111969,114987.9921875,2.450770616531372,19.19,35.64,32.98,12.18,0.1919191919191919,0.3564356435643564,0.3298329832983298,0.1218121812181218,1.0,0.9999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.231795932821408,49222.16137386995,5.125053928370589,2.450770616531372,-0.877196872916242,-0.29364763051730236,0.33520295211645257,-0.41240408086464975,-0.5384502353237258,-0.2448026048064235,0.16760147605822626,-0.3387466375925162,10.804099235493517,11.142845873086033,11.436493503603335
GBR,United Kingdom,united kingdom,United Kingdom,2010,2481864.75,29.42511749267578,10976813.0,3.703131437301636,0.16,15.9,55.6,28.34,0.0016,0.159,0.556,0.2834,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.688171404115447,84345.109263124,4.422808696565758,3.703131437301636,-0.33862400358522926,-0.10759305586927093,0.1878368505258161,0.00037220279248217913,-0.013302427813880704,0.09429062805539022,0.09391842526290804,-0.32532157577134857,11.34267210482453,11.667993680595877,11.775586736465149
GHA,Ghana,ghana,Ghana,2010,108134.703125,10.33951187133789,599238.625,2.259152173995972,35.33,10.35,51.19,3.13,0.3533,0.1035,0.5119,0.0313,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.143707295753434,10458.395374036918,5.5415940274723905,2.259152173995972,-2.4261357884825507,-0.3339175315237315,0.41334409450181653,-0.4938169946741068,-0.62106247894693,-0.2871449474231985,0.20667204725090824,-1.8050733095356208,9.255160319927208,11.060233629462829,11.39415116098656
