countrycode,country,year,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_capital_factor_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,residual
CHE,Switzerland,2010,0.0144,0.0277,0.6259,0.332,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7923983108386548,115141.49918374034,3.9436963358483443,3.6348724365234375,-0.02737902973545303,-0.06955340670907106,0.07318034436139054,0.03659017218069526,-0.018232576070792428,-0.05119581059916823,0.018357596109902834,0.0238167808637152
CHL,Chile,2010,0.029500000000000005,0.22000000000000003,0.5697000000000001,0.18080000000000002,1.0000000000000002,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.536663889849019,49671.372841731994,3.3081288406587235,2.9787709712982178,-0.8681120614366051,-0.16560445437616556,-0.10255537085460187,-0.05127768542730093,-0.21729580361695033,-0.4341779434204168,-0.26857348904425127,-0.4339341180161883
CHN,China,2010,0.0658934106589341,0.2808719128087191,0.6174382561743826,0.0357964203579642,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3256690346016176,17729.819709567142,3.6088335474856725,2.4410219192504883,-1.8982928780583421,-0.25244648844601214,-0.015553492370301125,-0.007776746185150562,-0.4163898223348089,-0.6766130569659716,-0.4241665685199595,-1.2216798210923705
CIV,Côte d'Ivoire,2010,0.46950000000000003,0.3069,0.17329999999999998,0.050300000000000004,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.873121452792586,9808.427225517795,2.152708239559924,1.5302809476852417,-2.490298892300107,-0.46884797755987384,-0.532211399703847,-0.26610569985192345,-0.8833552488392925,-1.61830892625109,-1.149460948691216,-0.871989966049017
CMR,Cameroon,2010,0.1823817618238176,0.5375462453754625,0.25537446255374463,0.024697530246975307,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.0041733155279156,7003.233550524772,2.680211404658924,1.8698792457580566,-2.827168851242547,-0.40122257863178634,-0.31304242171441543,-0.1565212108572077,-0.6829327390039813,-1.2406765284929753,-0.839453949861189,-1.5864923227495717
COD,D.R. of the Congo,2010,0.44179999999999997,0.3342,0.2122,0.0118,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.8374494851282863,2334.0956850215307,4.157235041425887,1.6226963996887207,-3.9259163002503934,-0.4880757822688585,0.12591210432816502,0.0629560521640825,-0.8247173834801407,-1.2498371135849167,-0.7617613313160582,-2.676079186665477
COG,Congo,2010,0.321,0.2466,0.40950000000000003,0.0229,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.064862623217052,16742.665282574606,4.043997965492399,2.023773670196533,-1.9555805606375731,-0.37139054499629687,0.09829570260366749,0.04914785130183374,-0.6038426711773939,-0.926085364871857,-0.5546948198755601,-1.0294951957657161
COL,Colombia,2010,0.07929207079292071,0.3574642535746425,0.36566343365663434,0.19758024197580246,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.419199261485406,28620.961826966617,3.2703820303166737,2.3859755992889404,-1.4194014490517635,-0.2130176411783855,-0.11403128853332856,-0.05701564426666427,-0.4391984963193063,-0.7092317817643561,-0.4962141405859706,-0.7101696672874074
CRI,Costa Rica,2010,0.05480000000000001,0.5212000000000001,0.2356,0.18840000000000004,1.0000000000000002,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3273548518883187,32374.175874863064,2.7177760682206946,2.5200469493865967,-1.296179765334605,-0.25172187692387527,-0.2991241715664882,-0.14956208578324406,-0.3845290612657747,-0.785813023972894,-0.5340911470490187,-0.5103667413617111
CYP,Cyprus,2010,0.0086,0.233,0.4495,0.3089,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6610471414910615,76439.51495305968,6.131780410727549,2.722369432449341,-0.43704105553539385,-0.11773453536552736,0.514547054523173,0.2572735272615864,-0.3073039773458941,-0.16776498544983504,-0.050030450084307676,-0.26927607008555876
CZE,Czech Republic,2010,0.0014000000000000002,0.0005,0.8329000000000001,0.16519999999999999,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.678706795259067,62541.112090223476,5.379408879642596,3.6364033222198486,-0.6377166954929709,-0.11112010392830052,0.3836403990032067,0.1918201995016033,-0.017811498458053077,0.06288859711524972,0.17400870104355023,-0.7006052926082207
DEU,Germany,2010,0.0184,0.016399999999999998,0.7225,0.2427,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7208706357483434,90382.27729302165,4.175239257575832,3.6533331871032715,-0.2694926288929089,-0.09550232714589835,0.13023356840306355,0.06511678420153176,-0.013166640499241877,-0.043552183443608464,0.05195014370228988,-0.22594044544930048
DNK,Denmark,2010,0.02889422115576885,0.06898620275944811,0.6161767646470707,0.2859428114377125,1.0000000000000002,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7184153405302007,97229.01004424936,4.299272353090384,3.4391186237335205,-0.1964717052453686,-0.09640512776922128,0.15950769270707021,0.0797538463535351,-0.07359136879859274,-0.09024265021427892,0.0061624775549423555,-0.1062290550310897
DOM,Dominican Republic,2010,0.10800000000000001,0.35359999999999997,0.4357,0.1027,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3008625120843678,32583.052827508774,3.2864165465402517,2.4240472316741943,-1.2897485281417236,-0.2631701850168989,-0.10914031986932216,-0.05457015993466107,-0.42336804029317987,-0.7411083852447399,-0.47793820022784095,-0.5486401428969838
DZA,Algeria,2010,0.2699,0.4415,0.1873,0.1013,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.063528966083533,54466.348765990886,4.015249677752664,2.039870500564575,-0.7759577722965769,-0.37203663544148047,0.09116143624345541,0.0455807181217277,-0.5959202675987512,-0.9223761849185039,-0.5503395494770235,0.146418412621927
